Year,Month,Day,water_year,water_month,water_day,model,flow,rcp,month_name
2016,1,11,2016,4,103,CanESM2,391364.68,4.5,Jan
2020,3,3,2020,6,155,CESM1-BGC,355279.16,4.5,Mar
2024,2,2,2024,5,125,CNRM-CM5,361579.52,4.5,Feb
2028,2,18,2028,5,141,CNRM-CM5,221624.29,4.5,Feb
2031,12,10,2032,3,71,MIROC5,407262.41,4.5,Dec
2035,12,31,2036,3,92,CNRM-CM5,508649.83,4.5,Dec
2040,3,15,2040,6,167,CanESM2,238384.29,4.5,Mar
2044,1,25,2044,4,117,MIROC5,554638.81,4.5,Jan
2015,2,15,2015,5,138,CCSM4,506988.35,4.5,Feb
2017,2,11,2017,5,134,HadGEM2-ES,417177.96,4.5,Feb
2018,3,4,2018,6,155,CESM1-BGC,350302.58,4.5,Mar
2019,3,25,2019,6,176,CCSM4,357167.15,4.5,Mar
2021,2,9,2021,5,132,HadGEM2-CC,602080.7,4.5,Feb
2022,3,25,2022,6,176,CanESM2,375510.18,4.5,Mar
2023,1,9,2023,4,101,CMCC-CMS,321887.7,4.5,Jan
2024,11,21,2025,2,52,CMCC-CMS,362934.33,4.5,Nov
2026,1,15,2026,4,107,CanESM2,742132.82,4.5,Jan
2027,1,11,2027,4,103,CESM1-BGC,409932.39,4.5,Jan
2029,1,25,2029,4,117,CanESM2,431117.89,4.5,Jan
2030,1,15,2030,4,107,CNRM-CM5,589889.87,4.5,Jan
2031,2,15,2031,5,138,CESM1-BGC,379152.2,4.5,Feb
2033,2,12,2033,5,135,CNRM-CM5,370561.49,4.5,Feb
2034,2,24,2034,5,147,CanESM2,273001.3,4.5,Feb
2035,1,28,2035,4,120,CNRM-CM5,398419.47,4.5,Jan
2037,1,20,2037,4,112,CanESM2,693023.92,4.5,Jan
2037,12,4,2038,3,65,ACCESS1-0,462208.58,4.5,Dec
2039,4,4,2039,7,186,ACCESS1-0,319048.53,4.5,Apr
2041,1,19,2041,4,111,CESM1-BGC,324106.67,4.5,Jan
2042,3,24,2042,6,175,CanESM2,311760.5,4.5,Mar
2043,1,8,2043,4,100,MIROC5,433559.97,4.5,Jan
2016,4,4,2016,7,187,ACCESS1-0,326873.96,8.5,Apr
2020,3,10,2020,6,162,CNRM-CM5,244973.28,8.5,Mar
2023,12,16,2024,3,77,ACCESS1-0,406585.71,8.5,Dec
2028,2,18,2028,5,141,CCSM4,333441.31,8.5,Feb
2032,1,26,2032,4,118,CanESM2,377101.53,8.5,Jan
2036,2,3,2036,5,126,CNRM-CM5,399984.08,8.5,Feb
2040,2,6,2040,5,129,CCSM4,307620.47,8.5,Feb
2044,1,18,2044,4,110,CNRM-CM5,266490.83,8.5,Jan
2015,1,26,2015,4,118,CNRM-CM5,300188.65,8.5,Jan
2017,3,7,2017,6,158,CanESM2,334570.82,8.5,Mar
2017,12,4,2018,3,65,HadGEM2-ES,349343.49,8.5,Dec
2019,2,9,2019,5,132,CNRM-CM5,338735.37,8.5,Feb
2021,2,23,2021,5,146,CMCC-CMS,308850.3,8.5,Feb
2022,2,2,2022,5,125,CMCC-CMS,471138.2,8.5,Feb
2023,2,10,2023,5,133,HadGEM2-CC,377649.46,8.5,Feb
2025,2,3,2025,5,126,HadGEM2-CC,341236.67,8.5,Feb
2026,3,26,2026,6,177,CanESM2,355642.62,8.5,Mar
2027,3,5,2027,6,156,ACCESS1-0,351744.6,8.5,Mar
2029,1,19,2029,4,111,CESM1-BGC,365993.6,8.5,Jan
2029,12,21,2030,3,82,CESM1-BGC,320844.34,8.5,Dec
2031,1,14,2031,4,106,CNRM-CM5,360582.67,8.5,Jan
2033,1,27,2033,4,119,CanESM2,448736.27,8.5,Jan
2034,1,15,2034,4,107,CESM1-BGC,509612.87,8.5,Jan
2035,1,27,2035,4,119,CNRM-CM5,489632.3,8.5,Jan
2037,2,18,2037,5,141,ACCESS1-0,285660.41,8.5,Feb
2038,1,21,2038,4,113,CNRM-CM5,671284.31,8.5,Jan
2039,1,4,2039,4,96,CNRM-CM5,457301.12,8.5,Jan
2041,1,18,2041,4,110,GFDL-CM3,546282.68,8.5,Jan
2042,3,3,2042,6,154,HadGEM2-CC,316129.56,8.5,Mar
2043,3,14,2043,6,165,CMCC-CMS,407562.12,8.5,Mar
